MPS Location,Report Name,Type,File Location,Coordinates
1,Verify Prior Period Post Date,,,D17
1A,Last date data was received.,,,D18
1B,Run Usage Balancing Report. Verify AUR = MOU,,,D19
1C,Client Final Approval of Usage Files,,,D20
2,Verify From and To Cycle Dates,,,D21
2A,From cycle date:,,,D22
2B,To cycle date:,,,D23
2C,Bill Date,,,D24
4A,AUR History Stats Report,,,D32
4B,Verify Bill Count,,,D33
4C,File Count:,,,D34
4D,Record Count:,,,D35
4E,Verify Count:,,,D36
4F,BAN Error Report,,,D37
4G,Set Up New BANs,,,D38
4H,CLLI Error Report,,,D39
4I,Set Up New CLLIs,,,D40
4J,CLLI Verification,,,D41
4K,Exception Analysis Report,,,D42
4L,MOU Entries Error Report,,,D43
4M,NON MOU Entries Error Report,,,D44
4N,Process Fix Files,,,D45
4O,Install New Circuits,,,D46
5,Analyze Files for Duplicate Processing and Non Processed Files,,,D47
5A,Duplicate File Processing Report,,,D48
5B,Error Files Duplicate Report,,,D49
5C,Usage Verify by Size Report,,,D50
5D,Usage By Day Report  (NOTIFY CLIENT OF MISSING USAGE),,,D51
5E-3MONTHS,Usage By Day Report - 3 Month Period,,,D52
5F,Copy period error files to the following month Q folder,,,D53
5G,"Zip files, analyze non-zipped files",,,D54
5H,"Renewals, Changes, and/or New Rate",,,D55
5I,Disconnects,,,D56
5J,Preliminary Balancing Report,,,D57
5k,Duplicate File Processing Report by Name,,,D58
5L,Update Rate Change Calculator,,,D59
5M,Usage Variance Report,,,D60
6,Usage Balancing Report,,,D61
7,Enter MOU Exceptions,,,D62
8,Enter/Post/Balance Payments,,,D63
9,Enter/Post/Balance Adjustments.  Include backup documentation.,,,D64
9A,Update OC&C Calculator,,,D65
9B,"Enter OC&Cs, include backup documentation for entries.",,,D66
9C,"Enter Adjustments, include backup documentation.",,,D67
9D,Adjustment Review Report,,,D68
9E,Post Adjustments,,,D69
9F,Adjustments Not Posted Report,,,D70
9G,Produce Bills for LPC Calculations,,,D71
9H,Aged Trial Balance for Late Payment Charges,,,D72
9I,Calculate Late Payment Charges,,,D73
